lane_id,length
:changji_j1_0_0,0.29
:changji_j1_0_1,0.29
:changji_j1_0_2,0.29
:changji_j1_0_3,0.29
:changji_j1_4_0,0.1
:changji_j1_4_1,0.1
:chungui_j1_0_0,0.35
:chungui_j1_0_1,0.35
:chungui_j1_2_0,0.19
:chungui_j1_2_1,0.19
:jiashi_j1_0_0,0.34
:jiashi_j1_0_1,0.34
:jiashi_j1_2_0,0.26
:jiashi_j1_2_1,0.26
:jiashi_j1_2_2,0.26
:jiashi_j2_0_0,0.35
:jiashi_j2_0_1,0.35
:jiashi_j2_2_0,0.17
:jiashi_j2_2_1,0.17
:jiashi_j3_0_0,0.33
:jiashi_j3_0_1,0.33
:jiashi_j3_2_0,0.25
:jiashi_j3_2_1,0.25
:jiashi_j4_0_0,0.3
:jiashi_j4_0_1,0.3
:jiashi_j4_2_0,0.3
:jiashi_j4_2_1,0.3
:jiashi_j5_0_0,0.28
:jiashi_j5_0_1,0.28
:jiashi_j5_2_0,0.31
:jiashi_j5_2_1,0.31
:jiashi_j6_0_0,0.32
:jiashi_j6_0_1,0.32
:jiashi_j6_2_0,0.27
:jiashi_j6_2_1,0.27
:jiashi_j7_0_0,0.34
:jiashi_j7_0_1,0.34
:jiashi_j7_2_0,0.24
:jiashi_j7_2_1,0.24
:jiashibei-changjidong_0_0,9.93
:jiashibei-changjidong_10_0,27.06
:jiashibei-changjidong_10_1,21.93
:jiashibei-changjidong_12_0,9.03
:jiashibei-changjidong_13_0,27.08
:jiashibei-changjidong_13_1,27.08
:jiashibei-changjidong_15_0,19.89
:jiashibei-changjidong_1_0,24.67
:jiashibei-changjidong_1_1,24.67
:jiashibei-changjidong_3_0,24.66
:jiashibei-changjidong_4_0,13.87
:jiashibei-changjidong_5_0,26.87
:jiashibei-changjidong_5_1,26.87
:jiashibei-changjidong_7_0,27.1
:jiashibei-changjidong_8_0,11.98
:jiashibei-changjidong_9_0,24.41
:jiashibei-chungui_0_0,9.18
:jiashibei-chungui_10_0,19.34
:jiashibei-chungui_11_0,11.78
:jiashibei-chungui_12_0,20.83
:jiashibei-chungui_12_1,20.83
:jiashibei-chungui_14_0,19.41
:jiashibei-chungui_15_0,14.46
:jiashibei-chungui_1_0,21.31
:jiashibei-chungui_2_0,19.48
:jiashibei-chungui_3_0,9.03
:jiashibei-chungui_4_0,20.81
:jiashibei-chungui_4_1,20.81
:jiashibei-chungui_6_0,4.98
:jiashibei-chungui_7_0,11.76
:jiashibei-chungui_8_0,21.01
:jiashibei-chungui_8_1,21.01
:lvhuan_j1_0_0,0.28
:lvhuan_j1_0_1,0.28
:lvhuan_j1_2_0,0.31
:lvhuan_j1_2_1,0.31
:xiaoqu_j1_0_0,0.31
:xiaoqu_j1_1_0,0.22
changjidong_ew_1_0,399.51
changjidong_ew_1_1,399.51
changjidong_ew_2_0,38.86
changjidong_ew_2_1,38.86
changjidong_we_1_0,399.51
changjidong_we_1_1,399.51
changjidong_we_1_2,399.51
changjidong_we_1_3,399.51
changjidong_we_2_0,38.86
changjidong_we_2_1,38.86
changjidong_we_2_2,38.86
changjidong_we_2_3,38.86
chungui_ew_1_0,41.86
chungui_ew_1_1,41.86
chungui_ew_2_0,189.36
chungui_ew_2_1,189.36
chungui_we_1_0,41.86
chungui_we_1_1,41.86
chungui_we_2_0,189.36
chungui_we_2_1,189.36
jiashi_ns_10_0,463.2
jiashi_ns_10_1,463.2
jiashi_ns_1_0,781.64
jiashi_ns_1_1,781.64
jiashi_ns_1_2,781.64
jiashi_ns_2_0,37.09
jiashi_ns_2_1,37.09
jiashi_ns_2_2,37.09
jiashi_ns_3_0,26.75
jiashi_ns_3_1,26.75
jiashi_ns_4_0,44.78
jiashi_ns_4_1,44.78
jiashi_ns_5_0,48.48
jiashi_ns_5_1,48.48
jiashi_ns_6_0,51.32
jiashi_ns_6_1,51.32
jiashi_ns_7_0,43.21
jiashi_ns_7_1,43.21
jiashi_ns_8_0,33.66
jiashi_ns_8_1,33.66
jiashi_ns_9_0,31.72
jiashi_ns_9_1,31.72
jiashi_sn_10_0,781.64
jiashi_sn_10_1,781.64
jiashi_sn_1_0,463.2
jiashi_sn_1_1,463.2
jiashi_sn_2_0,31.72
jiashi_sn_2_1,31.72
jiashi_sn_3_0,33.66
jiashi_sn_3_1,33.66
jiashi_sn_4_0,43.21
jiashi_sn_4_1,43.21
jiashi_sn_5_0,51.32
jiashi_sn_5_1,51.32
jiashi_sn_6_0,48.48
jiashi_sn_6_1,48.48
jiashi_sn_7_0,44.78
jiashi_sn_7_1,44.78
jiashi_sn_8_0,26.75
jiashi_sn_8_1,26.75
jiashi_sn_9_0,37.09
jiashi_sn_9_1,37.09
lvhuan_ew_1_0,196.89
lvhuan_ew_1_1,196.89
lvhuan_ew_2_0,30.64
lvhuan_ew_2_1,30.64
lvhuan_we_1_0,196.89
lvhuan_we_1_1,196.89
lvhuan_we_2_0,30.64
lvhuan_we_2_1,30.64
xiaoqu_ew_1_0,422.23
xiaoqu_ew_2_0,24.43
xiaoqu_we_1_0,422.23
xiaoqu_we_2_0,24.43
